trial,miss_distance_m,final_altitude_m,flight_time_s,terrain_override_fired,control_saturated,rms_q_error,rms_theta_error,LAT_INIT,LON_INIT,LAT_TARGET,LON_TARGET,target_downrange_m
119,568.832567606005,769.416509456758,78.6,1,0,0.0047048175071093,0.0272022273196981,34.235805018859,-119.46609590995,34.6655369059878,-118.771363919132,79631.5757953293
120,606.111410993263,766.60759464669,78,1,0,0.00428834840212569,0.00759609388173754,34.2496569242776,-119.464814100577,34.6634826019951,-118.762532015182,79141.5286908799
121,605.395082898481,787.198537954432,77.2,1,0,0.00482664754626107,0.0084804413618778,34.2326761144646,-119.444056351145,34.6614151106284,-118.766106815653,78340.9419793981
122,621.609644683202,779.078096553799,77.1,1,0,0.00453470406845893,0.0191768346353554,34.2394557472154,-119.443007137685,34.6649869601486,-118.763003346048,78271.2919619205
123,544.868756144833,769.441388743596,78.5,1,0,0.00494817249141301,0.0325093110252794,34.2143860934889,-119.454099745775,34.6507630543827,-118.769587634006,79344.4764988136
124,532.907364236274,761.270680351713,77.7,1,0,0.00460888397879022,0.00702377253109891,34.2340406577722,-119.467524507598,34.6523628371896,-118.779437937048,78390.0841474802
125,526.357889475287,753.602217162259,77.1,1,0,0.00414791136592986,0.0276056541952068,34.2306225534854,-119.453291647491,34.6538596326204,-118.777380136044,77824.0879759472
126,612.081748509631,791.028302828208,80.3,1,0,0.00425217130884023,0.0196180178265943,34.2208178024046,-119.464498605097,34.6525057370832,-118.746331813778,81497.5673892267
127,572.217990671295,766.061737158001,76.8,1,0,0.00404533490045172,0.0184614571219311,34.2310519939136,-119.436134581164,34.6611662438476,-118.76634760696,77842.7490898382
128,563.313336654548,780.822404512134,78.1,1,0,0.00430276654878316,0.0274520264752746,34.2387812896251,-119.461279648915,34.6561011690939,-118.761970679668,79152.7535105747
129,510.581480425891,776.881258561144,75.7,1,0,0.00472266709390442,0.0213643910722726,34.2472284134979,-119.446551637773,34.6542730409466,-118.773754434426,76513.1757802056
130,632.167983308354,794.949074970376,77.4,1,0,0.00464172836423754,0.0132629066356839,34.2325887569693,-119.440528025409,34.6612200381618,-118.758873536145,78603.6174542738
131,609.810910606424,760.175218913809,79.6,1,0,0.00500265414632207,0.0479315373063426,34.2199983856732,-119.456259819152,34.6604255954648,-118.756627627692,80713.885610443
132,517.314631792982,781.579011695694,76.3,1,0,0.0048818537843002,0.0209162098661333,34.2292079356432,-119.446866857084,34.645701183883,-118.775560557449,77037.8677058505
133,516.017544009004,780.871540701587,76,1,0,0.00460720395561961,0.0438580489675444,34.2398783857125,-119.446716047503,34.6612021473923,-118.783930925479,76734.0095448476
134,632.553313271065,784.658986638369,80.1,1,0,0.00441568727501522,0.0229110684119145,34.2092099409631,-119.464093268078,34.6556871333407,-118.76159795786,81336.3676883287
135,527.147457670355,763.505309086817,77,1,0,0.00475752144672569,0.0126022894297939,34.2409353195611,-119.455529689742,34.6568653933369,-118.77254815764,77852.0333250368
136,762.157240715593,788.802160604101,80.8,1,0,0.00481263055724018,0.0449717659750488,34.2229075073595,-119.470296874759,34.6707095654999,-118.756314240231,82253.5176709108
137,532.849338460651,754.147408240202,76.4,1,0,0.00477790491748934,0.0204942529634094,34.2276165325539,-119.453258964032,34.6552316931055,-118.794930436087,76846.8613708163
138,526.892038842202,785.884679854979,77.1,1,0,0.00446033056376979,0.0145799458932539,34.2386256413524,-119.463009334336,34.6555760183665,-118.78081436036,77862.6121835291
139,537.094159803334,784.978050912001,77.7,0,0,0.00510492880937207,0.0238753935100239,34.2348005774799,-119.463130550905,34.6714489185344,-118.789616241168,78555.565631028
140,583.279730184765,775.261749613624,77.8,1,0,0.00512171461452516,0.033494440383796,34.2400117500045,-119.455032519544,34.6532620798332,-118.755840322521,78880.120184389
141,525.195139293678,763.725538566519,76.6,1,0,0.00503146268020571,0.0437468516701571,34.2239981237297,-119.44384346985,34.6664868553659,-118.791269901872,77470.5237968639
142,526.460934620617,790.25142174528,76.9,1,0,0.0048075954856509,0.0104268901090312,34.2367169449254,-119.45249135881,34.6487602803172,-118.766852185036,77796.6251526429
143,559.28892203925,784.264532216468,78.3,1,0,0.00542476924319035,0.0104215784538626,34.2193258276819,-119.458510632043,34.6493241429863,-118.768486261663,79314.4346621099
144,699.549988510014,784.434229115239,79.1,1,0,0.00435454726516005,0.0119681731623125,34.2288709540538,-119.456349103067,34.6667430539117,-118.758201567764,80428.7737246756
145,578.893551186839,760.837292903791,78.8,1,0,0.00478315771441282,0.0117888362623466,34.2283497719688,-119.464769337226,34.6592666568486,-118.768119972103,79855.4781709976
146,702.251622758784,771.543189412705,80.1,1,0,0.00464626262189196,0.0107193772907542,34.2219486834901,-119.464407067793,34.6617720443572,-118.75429509623,81438.5203763328
147,544.944852908653,780.766423403933,77.4,1,0,0.0045341331318559,0.0359076161651848,34.2231460446229,-119.443833763178,34.6511193491555,-118.765197660591,78345.0249501572
148,757.177473340314,790.692045720094,79.6,1,0,0.0043699297018637,0.0200902190544891,34.2237789778084,-119.457633458668,34.6656677144934,-118.754745525762,81047.0624614849
149,649.627897505577,768.115883402561,79.6,1,0,0.00438802226196785,0.00519384665463788,34.214939126757,-119.456489200451,34.6670207184006,-118.766103050049,80840.4829424037
150,530.321738948203,771.280950065357,77.6,1,0,0.00443647551374427,0.0103976515725118,34.2369353158061,-119.463803783722,34.6460487046973,-118.76817566463,78349.9312489854
151,598.629544017503,785.346021457551,79.5,1,0,0.00467577526563435,0.014743750067446,34.2285888342277,-119.470514921636,34.6624531243552,-118.766124248775,80619.1129840358
152,524.381545949759,774.299392922185,76.5,1,0,0.00470616426136542,0.00808763500270551,34.2246251116292,-119.438501096343,34.6505349799019,-118.77115476436,77384.2293922437
153,595.906298917105,789.518864653398,78.3,1,0,0.00498850718139708,0.0285452837166697,34.2350413270361,-119.463759392178,34.6564056111237,-118.764178499072,79438.4328807325
154,532.601741532694,763.356128034462,76.9,1,0,0.00431920101841209,0.0345504836830663,34.2447844449855,-119.455440092179,34.6464340573195,-118.760313631038,77830.7451618638
155,744.880926480978,768.130949046224,78,1,0,0.00420817476343655,0.024880423749979,34.2419183208333,-119.449095925787,34.6771280199278,-118.762855841197,79374.6484339288
156,555.880721712966,772.324788103604,77.1,1,0,0.00449467771351418,0.00494260295033313,34.2480274541033,-119.458376243616,34.6580669499144,-118.766606697969,78115.0442143744
157,548.078636385351,792.692023827569,76.9,1,0,0.00467581712302925,0.0337021576550397,34.2542128664507,-119.457849799933,34.6645068466768,-118.768985702744,77911.5834561676
158,603.645753900698,784.291494481245,78.8,1,0,0.00482623444853486,0.023411336024773,34.2256243540928,-119.459485683682,34.6562175461774,-118.761397085229,79941.3045653274
159,717.088151899446,789.101277550759,78.6,1,0,0.00467367018563185,0.0317242960343748,34.2420047305954,-119.460751005176,34.6643774850473,-118.755651737843,79908.7966044083
160,517.04775678665,757.74283451342,76.2,1,0,0.00493540037636549,0.0165346886148517,34.2318675691199,-119.442119122872,34.6569459454676,-118.780442114782,76912.9482778052
161,533.056191144919,777.852110870995,77.7,1,0,0.0051982979052091,0.0188766972686067,34.230796557398,-119.468915064933,34.6469763743472,-118.778266293217,78441.1910857104
162,634.27691540517,770.244205666778,77.4,1,0,0.00472910367366658,0.0256301322138508,34.2423047109172,-119.447928500941,34.6619500496774,-118.758716658268,78555.0316967783
163,600.987326097566,784.349360897643,78.9,1,0,0.00426665685041396,0.0109938406169936,34.2219704519186,-119.455384586339,34.6533928302771,-118.756473709085,80058.9047324577
164,554.050132878282,773.902557536586,77.7,1,0,0.00414615983451942,0.00854709980327909,34.2371204390733,-119.459043111976,34.6690891023715,-118.778720453689,78728.7151773792
165,592.979910044678,786.550070352006,79.3,1,0,0.00457156451008893,0.00854389792365887,34.2167241123028,-119.463590896306,34.6600550286575,-118.770638731367,80426.4030134396
166,543.108066733314,789.655375981876,78.4,1,0,0.00455396936462523,0.00581237627129004,34.2392549817992,-119.473792638738,34.6709755492218,-118.786033509707,79252.1250814716
